IST,BEG,10212017-0740,,OW
IST,LHR,10242017-1245,,OW
IST,SFO,11012017-1355,,OW
IST,CDG,02162018-1145,,OW
IST,SKP,12132017-0830,,OW
IST,JFK,11112017-0825,,OW
IST,LAX,03102018-1340,,OW
IST,IAD,02022018-1525,,OW
SAW,AMS,03132018-1050,,OW
IST,ARN,12202017-0905,,OW
IST,VKO,01312018-1655,,OW
IST,ATL,04012018-1405,,OW
IST,LAX,04202018-1300,,OW
IST,TXL,03242018-1240,,OW
IST,MUC,03242018-1235,,OW
IST,HEL,06212018-1455,,OW
IST,CPH,02212018-0930,,OW
IST,ORD,03312018-1410,,OW
IST,ODS,11242017-2015,,OW
IST,KTM,11012017-0145,,OW
IST,GVA,11012017-1245,,OW
IST,FCO,10312017-1720,,OW
IST,CLJ,11252017-0810,,OW
IST,SIN,09152017-0210,,OW
IST,OTP,12272017-1950,,OW
IST,PRG,01222018-1735,,OW
IST,BUD,01012018-1910,,OW
IST,ATH,02202018-1310,,OW
IST,SOF,03202018-0835,,OW
IST,MXP,04202018-0940,,OW
