SAW,ORY,12202017-0955,,OW
SAW,PRG,12282017-1230,,OW
SAW,BGY,01232018-1120,,OW
SAW,CPH,02072018-1125,,OW
SAW,ARN,12122017-1050,,OW
SAW,AMS,03012018-1040,,OW
SAW,OTP,02282018-1020,,OW
SAW,ATH,02272018-1020,,OW
SAW,BAH,01192018-2115,,OW
SAW,DME,12242017-1215,,OW
SAW,SXF,11112017-1110,,OW
SAW,STN,12122017-2125,,OW
SAW,BCN,10312017-1055,,OW
SAW,MAD,11012017-0955,,OW
SAW,LWO,02162018-1325,,OW
SAW,AUH,02152018-2145,,OW
SAW,SJJ,12262017-1450,,OW
SAW,VIE,02222018-1225,,OW
SAW,BUD,12212017-1020,,OW
SAW,CRL,01032018-1000,,OW
